X, Y, Z, Time
x:1.487001,y:-0.2029999,z:1.386,time:0.02
x:1.487001,y:-0.2029999,z:1.386,time:0.02
x:1.487001,y:-0.2029999,z:1.386,time:0.04
x:1.487001,y:-0.2029999,z:1.386,time:0.04
x:1.487001,y:-0.2029999,z:1.386,time:0.3733333
x:1.487001,y:-0.2029999,z:1.386,time:0.3733333
x:1.487001,y:-0.2029999,z:1.386,time:0.4202768
x:1.487001,y:-0.2029999,z:1.386,time:0.4202768
x:1.487001,y:-0.2029999,z:1.386,time:0.425856
x:1.487001,y:-0.2029999,z:1.386,time:0.425856
x:1.487001,y:-0.2029999,z:1.386,time:0.4285561
x:1.487001,y:-0.2029999,z:1.386,time:0.4285561
x:1.487001,y:-0.2029999,z:1.386,time:0.4310254
x:1.487001,y:-0.2029999,z:1.386,time:0.4310254
x:1.487001,y:-0.2029999,z:1.386,time:0.4334675
x:1.487001,y:-0.2029999,z:1.386,time:0.4334675
x:1.487001,y:-0.2029999,z:1.386,time:0.7668009
x:1.487001,y:-0.2029999,z:1.386,time:0.7668009
x:1.487001,y:-0.2029999,z:1.386,time:0.7716465
x:1.487001,y:-0.2029999,z:1.386,time:0.7716465
x:1.487001,y:-0.2029999,z:1.386,time:0.7745775
x:1.487001,y:-0.2029999,z:1.386,time:0.7745775
x:1.487001,y:-0.2029999,z:1.386,time:0.7775395
x:1.487001,y:-0.2029999,z:1.386,time:0.7775395
x:1.487001,y:-0.2029999,z:1.386,time:0.7802748
x:1.487001,y:-0.2029999,z:1.386,time:0.7802748
x:1.487001,y:-0.2029999,z:1.386,time:0.7831187
x:1.487001,y:-0.2029999,z:1.386,time:0.7831187
x:1.487001,y:-0.2029999,z:1.386,time:0.7856732
x:1.487001,y:-0.2029999,z:1.386,time:0.7856732
x:1.487001,y:-0.2029999,z:1.386,time:0.789097
x:1.487001,y:-0.2029999,z:1.386,time:0.789097
x:1.487001,y:-0.2029999,z:1.386,time:0.7917891
x:1.487001,y:-0.2029999,z:1.386,time:0.7917891
x:1.487001,y:-0.2029999,z:1.386,time:0.7967872
x:1.487001,y:-0.2029999,z:1.386,time:0.7967872
x:1.487001,y:-0.2029999,z:1.386,time:0.7993392
x:1.487001,y:-0.2029999,z:1.386,time:0.7993392
x:1.487001,y:-0.2029999,z:1.386,time:0.8018275
x:1.487001,y:-0.2029999,z:1.386,time:0.8018275
x:1.487001,y:-0.2029999,z:1.386,time:0.8044568
x:1.487001,y:-0.2029999,z:1.386,time:0.8044568
x:1.487001,y:-0.2029999,z:1.386,time:0.806986
x:1.487001,y:-0.2029999,z:1.386,time:0.806986
x:1.487001,y:-0.2029999,z:1.386,time:0.8093395
x:1.487001,y:-0.2029999,z:1.386,time:0.8093395
x:1.487001,y:-0.2029999,z:1.386,time:0.8118558
x:1.487001,y:-0.2029999,z:1.386,time:0.8118558
x:1.487001,y:-0.2029999,z:1.386,time:0.8141115
x:1.487001,y:-0.2029999,z:1.386,time:0.8141115
x:1.487001,y:-0.2029999,z:1.386,time:0.8167318
x:1.487001,y:-0.2029999,z:1.386,time:0.8167318
x:1.487001,y:-0.2029999,z:1.386,time:0.8192348
x:1.487001,y:-0.2029999,z:1.386,time:0.8192348
x:1.487001,y:-0.2029999,z:1.386,time:0.8217643
x:1.487001,y:-0.2029999,z:1.386,time:0.8217643
x:1.487001,y:-0.2029999,z:1.386,time:0.8243706
x:1.487001,y:-0.2029999,z:1.386,time:0.8243706
x:1.487001,y:-0.2029999,z:1.386,time:0.8268106
x:1.487001,y:-0.2029999,z:1.386,time:0.8268106
x:1.487001,y:-0.2029999,z:1.386,time:0.8291873
x:1.487001,y:-0.2029999,z:1.386,time:0.8291873
x:1.487001,y:-0.2029999,z:1.386,time:0.8315356
x:1.487001,y:-0.2029999,z:1.386,time:0.8315356
x:1.487001,y:-0.2029999,z:1.386,time:0.8338665
x:1.487001,y:-0.2029999,z:1.386,time:0.8338665
x:1.487001,y:-0.2029999,z:1.386,time:0.8362099
x:1.487001,y:-0.2029999,z:1.386,time:0.8362099
x:1.487001,y:-0.2029999,z:1.386,time:0.838603
x:1.487001,y:-0.2029999,z:1.386,time:0.838603
x:1.487001,y:-0.2029999,z:1.386,time:0.8410993
x:1.487001,y:-0.2029999,z:1.386,time:0.8410993
x:1.487001,y:-0.2029999,z:1.386,time:0.8435623
x:1.487001,y:-0.2029999,z:1.386,time:0.8435623
x:1.487001,y:-0.2029999,z:1.386,time:0.8458897
x:1.487001,y:-0.2029999,z:1.386,time:0.8458897
x:1.487001,y:-0.2029999,z:1.386,time:0.8482278
x:1.487001,y:-0.2029999,z:1.386,time:0.8482278
x:1.487001,y:-0.2029999,z:1.386,time:0.850592
x:1.487001,y:-0.2029999,z:1.386,time:0.850592
x:1.487001,y:-0.2029999,z:1.386,time:0.852853
x:1.487001,y:-0.2029999,z:1.386,time:0.852853
x:1.487001,y:-0.2029999,z:1.386,time:0.855247
x:1.487001,y:-0.2029999,z:1.386,time:0.855247
x:1.487001,y:-0.2029999,z:1.386,time:0.8575902
x:1.487001,y:-0.2029999,z:1.386,time:0.8575902
x:1.487001,y:-0.2029999,z:1.386,time:0.8599073
x:1.487001,y:-0.2029999,z:1.386,time:0.8599073
x:1.487001,y:-0.2029999,z:1.386,time:0.8621523
x:1.487001,y:-0.2029999,z:1.386,time:0.8621523
x:1.487001,y:-0.2029999,z:1.386,time:0.864599
x:1.487001,y:-0.2029999,z:1.386,time:0.864599
x:1.487001,y:-0.2029999,z:1.386,time:0.8669236
x:1.487001,y:-0.2029999,z:1.386,time:0.8669236
x:1.487001,y:-0.2029999,z:1.386,time:0.8693045
x:1.487001,y:-0.2029999,z:1.386,time:0.8693045
x:1.487001,y:-0.2029999,z:1.386,time:0.8717793
x:1.487001,y:-0.2029999,z:1.386,time:0.8717793
x:1.487001,y:-0.2029999,z:1.386,time:0.8741857
x:1.487001,y:-0.2029999,z:1.386,time:0.8741857
x:1.487001,y:-0.2029999,z:1.386,time:0.876546
x:1.487001,y:-0.2029999,z:1.386,time:0.876546
x:1.487001,y:-0.2029999,z:1.386,time:0.8788441
x:1.487001,y:-0.2029999,z:1.386,time:0.8788441
x:1.487001,y:-0.2029999,z:1.386,time:0.8811181
x:1.487001,y:-0.2029999,z:1.386,time:0.8811181
x:1.487001,y:-0.2029999,z:1.386,time:0.8835835
x:1.487001,y:-0.2029999,z:1.386,time:0.8835835
x:1.487001,y:-0.2029999,z:1.386,time:0.8859437
x:1.487001,y:-0.2029999,z:1.386,time:0.8859437
x:1.487001,y:-0.2029999,z:1.386,time:0.888462
x:1.487001,y:-0.2029999,z:1.386,time:0.888462
x:1.487001,y:-0.2029999,z:1.386,time:0.890889
x:1.487001,y:-0.2029999,z:1.386,time:0.890889
x:1.487001,y:-0.2029999,z:1.386,time:0.8933101
x:1.487001,y:-0.2029999,z:1.386,time:0.8933101
x:1.487001,y:-0.2029999,z:1.386,time:0.8956402
