Timestamp,tooltip,object_name,position,rotation,scale
01_30_16:311_26,none,red cube,47.94__1__-13.42,0__0__0,0.3__0.3__0.3
01_30_16:311_26,none,green cube,48.7__1__-13.4,0__0__0,0.3__0.3__0.3
01_30_16:311_26,parisukat: square,yellow cube,59.68203__0.882736__-13.30215,0.008807697__0.4474479__-0.06209538,0.3__0.3__0.3
01_30_16:311_26,none,white Cube,48.7__1__-12.77,0__0__0,0.3__0.3__0.3
01_30_16:311_26,none,black cube,47.89__1__-12.7,0__0__0,0.3__0.3__0.3
01_30_16:311_26,none,blue Cube,49.34__1__-12.78,0__0__0,0.3__0.3__0.3
01_30_16:311_26,none,purple Cube,47.84__1__-11.93,0__0__0,0.3__0.3__0.3
01_30_16:311_26,none,orange cube,48.7__1__-11.91,0__0__0,0.3__0.3__0.3
01_30_16:311_26,none,Hotdog,50.19__1.06__-12.83,0__0__0,2__2__2
01_30_16:311_26,none,Shark,51.51__1__-13.24,0__0__0,0.3__0.3__0.3
01_30_16:311_26,harap: front,TV,51.8__0.664__-9.13,0__0__0,1__1__1
01_30_16:311_26,none,flower,50.26__0.97__-7.98,0__0__0,8__8__8
01_30_16:311_26,maliit: small,FantasyBee,62.17647__0.7122604__-10.81053,0.04782559__-0.8481718__0.03251831,1__1__1
01_30_16:311_26,none,AcousticGuitar,48.84__0.74__-9.06,0.7071068__0__0,2__2__2
01_30_16:311_26,malamig: cold,Snowman,59.92657__0.885384__-6.851661,-0.34274__-0.54949__-0.5938905,80__80__80
01_30_16:311_26,none,Clouds,53.56__0.89__-13.49,0__0__0,0.005__0.005__0.005
01_30_16:311_26,none,Table,53.75__0.62__-11.86,-0.709268__0__0,8__18__18
01_30_16:311_26,pataas: up,House,52.27361__0.8260734__-7.137102,-0.04651546__-0.3962466__0.05753861,0.3__0.3__0.3
01_30_16:411_26,none,Soccer Ball,49.73__0.86__-9.84,0__0__0,3__3__3
01_30_16:411_26,none,cat,50.8__0.76__-9.93,0__0__0,4__4__4
01_30_16:411_26,mabagal: slow,Cheese,57.55766__0.7115741__-13.14139,0.09180219__0.2236165__0.01624501,2__2__2
01_30_16:411_26,pababa: down,GoldCoins,59.83019__0.8602929__-8.774821,0.083436__0.9801943__-0.02250557,10__10__10
01_30_16:411_26,matigas: hard,Banana,61.99842__0.7512338__-6.502386,-0.04676486__-0.8224874__-0.1522967,2__2__2
01_30_16:411_26,none,Tree,49.33__0.981__-12.165,0__0__0,150__150__150
01_30_16:411_26,matamis:sweet ,Watermelon,62.63853__0.7098905__-8.362424,-0.01934106__0.06813855__-0.206343,0.3__0.3__0.3
01_30_16:411_26,manipis: narrow,book,61.6049__0.9403355__-13.86619,0.06372506__0.6124077__0.5804529,3__3__3
01_30_16:411_26,"madilim	:dark",Axe,56.70169__0.8698733__-8.952658,-0.7349719__-0.2217323__-0.1137285,2__2__2
01_30_16:411_26,none,StopSign,54.39__0.67__-6.92,0__0__0,0.3__0.3__0.3
01_30_16:411_26,none,Crystals,49.76__0.834__-11.14,0__0.09853622__0,0.2__0.2__0.2
01_30_16:411_26,none,Clock,51.7__1.31__-10.58,0__1__0,3__3__3
01_30_16:411_26,pula: red,Car,60.63939__0.5171275__-11.02315,-0.03768223__-0.6410661__0.1496712,0.3__0.3__0.3
01_30_16:411_26,mapurol: blunt,Airplane,56.83263__0.1598541__-11.63616,-0.09483226__-0.9662548__-0.07328659,0.2__0.2__0.2
01_30_16:411_26,malungkot: sad,Heart,49.34__1.12__-6.83,-0.7071068__0__0,0.5__0.5__0.5
,,,,,
,madilim: dark attached to nothing,,,,
