Timestamp,tooltip,object_name,position,rotation,scale
01_31_05:631_25,none,red cube,47.94__1__-13.42,0__0__0,0.3__0.3__0.3
01_31_05:631_25,none,green cube,48.7__1__-13.4,0__0__0,0.3__0.3__0.3
01_31_05:631_25,dilaw: yellow,yellow cube,47.32468__-0.03263871__-13.1764,-0.01396701__0.3569836__0.06638057,0.3__0.3__0.3
01_31_05:631_25,abo: gray,white Cube,48.17103__-0.7591239__-12.84514,0.5377445__-0.03340916__-0.3068446,0.3__0.3__0.3
01_31_05:631_25,none,black cube,47.89__1__-12.7,0__0__0,0.3__0.3__0.3
01_31_05:631_25,none,blue Cube,49.34__1__-12.78,0__0__0,0.3__0.3__0.3
01_31_05:631_25,none,purple Cube,47.84__1__-11.93,0__0__0,0.3__0.3__0.3
01_31_05:631_25,none,orange cube,48.7__1__-11.91,0__0__0,0.3__0.3__0.3
01_31_05:631_25,mainit: hot,Hotdog,51.41867__-2.257078__3.919205,0.09208058__-0.4889975__0.1748385,2__2__2
01_31_05:631_25,malakas: strong,Shark,62.16238__1.536715__5.769473,-0.04823631__0.04623994__-0.02365875,0.5051922__0.5051922__0.5051922
01_31_05:631_25,none,TV,51.8__0.664__-9.13,0__0__0,1__1__1
01_31_05:631_25,malukong: shallow,flower,55.45672__2.000288__-2.564682,-0.04719395__0.1031215__0.04403219,8__8__8
01_31_05:631_25,none,FantasyBee,47.95__0.55__-9.64,0__0__0,1__1__1
01_31_05:631_25,kanan: right,AcousticGuitar,57.27255__0.537842__-3.22845,0.6337525__0.4283865__-0.3696987,2__2__2
01_31_05:631_25,madulas: slippery,Snowman,58.82618__-5.862746__-3.130441,-0.4025879__0.2932524__0.09521038,80__80__80
01_31_05:631_25,magaspang: rough,Clouds,50.87601__-2.184992__1.990216,0.139774__-0.6237863__0.0001690733,0.005__0.005__0.005
01_31_05:631_25,none,Table,53.75__0.62__-11.86,-0.709268__0__0,8__18__18
01_31_05:631_25,tatsulok: triangle,House,55.78973__-2.444604__-2.791261,-0.009050692__-0.2926627__0.02824324,0.3__0.3__0.3
01_31_05:631_25,none,Soccer Ball,49.73__0.86__-9.84,0__0__0,3__3__3
01_31_05:631_25,tahimik: quiet,cat,57.17592__-2.018938__6.668391,0.09743872__0.6407683__0.08236834,7.077691__7.077691__7.077691
01_31_05:631_25,none,Cheese,52.8__0.73__-10.11,0__0__0,2__2__2
01_31_05:631_25,makinang: shiny,GoldCoins,48.07903__-2.158766__0.5699634,0.1524494__0.6601384__0.1979059,10__10__10
01_31_05:631_25,malagkit: sticky,Banana,51.11971__-2.062526__4.634437,0.4224084__-0.4059942__0.1751294,2__2__2
01_31_05:631_25,none,Tree,49.33__0.981__-12.165,0__0.08612259__0,150__150__150
01_31_05:631_25,maasim: sour,Watermelon,64.44217__0.001227061__0.7749843,0.09047864__0.918148__-0.2822906,0.3__0.3__0.3
01_31_05:631_25,none,book,50.2__0.742__-11.51,0__0__0,3__3__3
01_31_05:631_25,katabi: beside,Axe,51.27716__0.3942402__-1.4629,-0.6446083__-0.05889475__0.05042363,2__2__2
01_31_05:631_25,kaliwa: left,StopSign,52.54443__-0.197974__-2.099774,0.1016669__0.4069497__0.05102514,0.3__0.3__0.3
01_31_05:631_25,none,Crystals,49.76__0.834__-11.14,0__0__0,0.2__0.2__0.2
01_31_05:631_25,none,Clock,51.7__1.31__-10.58,0__1__0,3__3__3
01_31_05:631_25,none,Car,54.016__0.7__-9.41,0__0__0,0.3__0.3__0.3
01_31_05:631_25,none,Airplane,52.78__0.74__-7.06,0__0__0,0.2__0.2__0.2
01_31_05:631_25,none,Heart,49.34__1.12__-6.83,-0.7071068__0__0,0.5__0.5__0.5
