Timestamp,tooltip,object_name,position,rotation,scale
02_02_06:938_36,mainit: hot,red cube,58.68588__1.344187__-6.806987,0.1411245__0.4879415__-0.03282186,0.3__0.3__0.3
02_02_06:938_36,none,green cube,48.7__1__-13.4,0__0__0,0.3__0.3__0.3
02_02_06:938_36,katabi: beside,yellow cube,54.35789__0.009887218__-3.991037,0.1864124__-0.2053889__0.01067584,-0.4142172__-0.4142172__-0.4142172
02_02_06:938_36,kanan: right,white Cube,56.1204__1.413373__-3.833998,0.04904047__0.7374398__0.2905526,0.3__0.3__0.3
02_02_06:938_36,kaliwa: left,black cube,55.45395__1.222195__-3.530667,0.1093484__0.07155672__0.2633805,0.3__0.3__0.3
02_02_06:938_36,malukong: shallow,blue Cube,61.18464__0.9158698__-12.69381,0.1090165__0.5802519__-0.06490579,0.3__0.3__0.3
02_02_06:938_36,none,purple Cube,47.84__1__-11.93,0__0__0,0.3__0.3__0.3
02_02_06:938_36,none,orange cube,48.7__1__-11.91,0__0__0,0.3__0.3__0.3
02_02_06:938_36,maasim: sour,Hotdog,58.64156__1.511703__-8.047231,0.02968238__0.5959597__-0.08441639,0.6532072__0.6532072__0.6532072
02_02_06:938_36,tatsulok: triangle,Shark,59.37156__0.7675321__-13.69434,0.00379399__0.5776969__-0.07416206,0.3__0.3__0.3
02_02_06:938_36,none,TV,51.8__0.664__-9.13,0__0__0,1__1__1
02_02_06:938_36,none,flower,50.26__0.97__-7.98,0__0__0,8__8__8
02_02_06:938_36,dilaw: yellow,FantasyBee,55.60194__-0.1180561__-4.586518,0.04638578__-0.9547615__-0.2640121,1__1__1
02_02_06:938_36,none,AcousticGuitar,48.84__0.74__-9.06,0.7071068__0__0,2__2__2
02_02_06:938_36,madulas: slippery,Snowman,56.61303__2.877437__-9.336364,-0.6811876__0.2002217__0.2083953,80__80__80
02_02_06:938_36,malagkit: sticky,Clouds,56.86287__3.33982__-11.48798,0.0009029803__0.3028583__-0.06762685,0.005__0.005__0.005
02_02_06:938_36,none,Table,53.75__0.62__-11.86,-0.709268__0__0,8__18__18
02_02_06:938_36,none,House,48.34__0.429__-7.33,0__0__0,0.3__0.3__0.3
02_02_06:938_36,abo: gray,Soccer Ball,55.26786__-1.064525__-4.482968,0.1841734__0.1074147__0.02794445,3__3__3
02_02_06:938_36,none,cat,50.8__0.76__-9.93,0__0__0,4__4__4
02_02_06:938_36,none,Cheese,52.8__0.73__-10.11,0__0__0,2__2__2
02_02_06:938_36,makinang: shiny,GoldCoins,56.98951__1.631059__-8.562977,0.2431718__0.5687588__-0.04498597,10__10__10
02_02_06:938_36,none,Banana,48.61__0.69__-10.38,0__0__0,2__2__2
02_02_06:938_36,none,Tree,49.33__0.981__-12.165,0__0__0,150__150__150
02_02_06:938_36,none,Watermelon,47.77__0.61__-11.21,0__0__0,0.3__0.3__0.3
02_02_06:938_36,tahimik: quiet,book,59.43718__1.497851__-9.69009,-0.5709223__-0.05883212__-0.3801724,3.402145__3.402145__3.402145
02_02_06:938_36,magaspang: rough,Axe,62.00803__2.85464__-6.838866,-0.576767__0.5250444__0.3445602,2__2__2
02_02_06:938_36,none,StopSign,54.39__0.67__-6.92,0__0__0,0.3__0.3__0.3
02_02_06:938_36,malakas: strong,Crystals,57.64486__3.02783__-13.28261,0.01402531__0.4874439__-0.1153206,0.2__0.2__0.2
02_02_06:938_36,none,Clock,51.7__1.31__-10.58,0__1__0,3__3__3
02_02_06:938_36,none,Car,54.016__0.7__-9.41,0__0__0,0.3__0.3__0.3
02_02_06:938_36,none,Airplane,52.78__0.74__-7.06,0__0__0,0.2__0.2__0.2
02_02_06:938_36,none,Heart,49.34__1.12__-6.83,-0.7071068__0__0,0.5__0.5__0.5
