Timestamp,tooltip,object_name,position,rotation,scale
02_03_11:722_53,none,red cube,47.94__1__-13.42,0__0__0,0.3__0.3__0.3
02_03_11:722_53,none,green cube,48.7__1__-13.4,0__0__0,0.3__0.3__0.3
02_03_11:722_53,dilaw: yellow,yellow cube,55.68577__1.345839__-4.182876,0.1181908__0.002164891__0.07556558,0.3__0.3__0.3
02_03_11:722_53,none,white Cube,48.7__1__-12.77,0__0__0,0.3__0.3__0.3
02_03_11:722_53,none,black cube,47.89__1__-12.7,0__0__0,0.3__0.3__0.3
02_03_11:722_53,none,blue Cube,49.34__1__-12.78,0__0__0,0.3__0.3__0.3
02_03_11:722_53,none,purple Cube,47.84__1__-11.93,0__0__0,0.3__0.3__0.3
02_03_11:722_53,none,orange cube,48.7__1__-11.91,0__0__0,0.3__0.3__0.3
02_03_11:722_53,mainit: hot,Hotdog,50.47071__-6.510024__-14.32054,0.2540212__-0.4982638__0.3153057,2__2__2
02_03_11:722_53,abo: gray,Shark,55.39376__-0.4984633__-4.846228,0.1531917__-0.01648657__-0.04545958,0.3__0.3__0.3
02_03_11:722_53,none,TV,51.8__0.664__-9.13,0__0__0,1__1__1
02_03_11:722_53,none,flower,50.26__0.97__-7.98,0__0__0,8__8__8
02_03_11:722_53,none,FantasyBee,47.95__0.55__-9.64,0__0__0,1__1__1
02_03_11:722_53,none,AcousticGuitar,48.84__0.74__-9.06,0.7071068__0__0,2__2__2
02_03_11:722_53,malagkit: sticky,Snowman,60.51907__-2.322027__-10.52715,-0.4454274__-0.2456632__-0.2751815,80__80__80
02_03_11:722_53,malakas: strong,Clouds,61.93728__-2.899453__-13.16837,0.2286878__0.530295__0.08014402,0.005__0.005__0.005
02_03_11:722_53,kanan: right,Table,63.66765__-2.370603__-11.33409,-0.4475194__0.2221469__0.4271837,6.293292__14.15991__14.15991
02_03_11:722_53,malukong: shallow,House,53.44659__-6.311738__-12.93185,0.2188831__-0.1871382__0.2358585,0.3__0.3__0.3
02_03_11:722_53,none,Soccer Ball,49.73__0.86__-9.84,0__0__0,3__3__3
02_03_11:722_53,none,cat,50.8__0.76__-9.93,0__0__0,4__4__4
02_03_11:722_53,tatsulok: triangle,Cheese,51.19152__-2.824974__0.3075441,0.1582951__-0.01690429__-0.01352117,2__2__2
02_03_11:722_53,makinang: shiny,GoldCoins,47.97924__-2.67864__-1.214589,0.2419309__-0.1262684__0.1447693,10__10__10
02_03_11:722_53,none,Banana,48.61__0.69__-10.38,0__0__0,2__2__2
02_03_11:722_53,none,Tree,49.33__0.981__-12.165,0__0__0,150__150__150
02_03_11:722_53,none,Watermelon,47.77__0.61__-11.21,0__0__0,0.3__0.3__0.3
02_03_11:722_53,magaspang: rough,book,49.68946__-2.63057__-0.7701769,0.4205019__-0.04347761__0.1605619,3__3__3
02_03_11:722_53,none,Axe,53.63__1.73__-6.66,-0.7071068__0__0,2__2__2
02_03_11:722_53,tahimik: quiet,StopSign,60.28918__-2.764761__3.337483,0.09553842__-0.3542781__-0.05909067,0.3__0.3__0.3
02_03_11:722_53,none,Crystals,49.76__0.834__-11.14,0__0__0,0.2__0.2__0.2
02_03_11:722_53,katabi: beside,Clock,60.17476__-2.576513__-12.49419,-0.05861731__0.7888861__0.4344771,3__3__3
02_03_11:722_53,kaliwa: left,Car,48.83165__-0.746901__-15.00617,0.09198613__-0.5716608__0.02707741,0.3__0.3__0.3
02_03_11:722_53,madulas: slippery,Airplane,54.7892__-7.31566__-10.07001,0.3870715__0.1064319__0.204088,0.2__0.2__0.2
02_03_11:722_53,none,Heart,49.34__1.12__-6.83,-0.7071068__0__0,0.5__0.5__0.5
