Timestamp,tooltip,object_name,position,rotation,scale
02_02_09:039_31,pula: red,red cube,60.15317__1.237957__-12.86267,-0.0614702__0.8887674__0.1098097,0.3__0.3__0.3
02_02_09:039_31,none,green cube,48.7__1__-13.4,0__0__0,0.3__0.3__0.3
02_02_09:039_31,none,yellow cube,49.38__1__-13.43,0__0__0,0.3__0.3__0.3
02_02_09:039_31,none,white Cube,48.7__1__-12.77,0__0__0,0.3__0.3__0.3
02_02_09:039_31,itim: black,black cube,60.9622__1.069427__-13.75425,-0.1423636__0.8881646__0.02530445,0.3__0.3__0.3
02_02_09:039_31,none,blue Cube,49.34__1__-12.78,0__0__0,0.3__0.3__0.3
02_02_09:039_31,none,purple Cube,47.84__1__-11.93,0__0__0,0.3__0.3__0.3
02_02_09:039_31,none,orange cube,48.7__1__-11.91,0__0__0,0.3__0.3__0.3
02_02_09:039_31,manipis: narrow,Hotdog,66.29697__0.3236937__-13.83679,0.04596989__0.9654618__0.0648323,2__2__2
02_02_09:039_31,pababa: down,Shark,56.59531__0.1924682__-3.300958,-0.105118__0.8430253__-0.02496025,0.3__0.3__0.3
02_02_09:039_31,none,TV,51.8__0.664__-9.13,0__0__0,1__1__1
02_02_09:039_31,malungkot: sad,flower,63.07368__1.708426__-12.43106,0.02964746__0.7025862__-0.01469839,8__8__8
02_02_09:039_31,maliit: small,FantasyBee,66.18933__0.01608372__-12.56477,0.07690059__0.8834249__0.02096739,1__1__1
02_02_09:039_31,none,AcousticGuitar,48.84__0.74__-9.06,0.7071068__0__0,2__2__2
02_02_09:039_31,malamig: cold,Snowman,63.46472__1.554517__-7.814384,-0.1091439__0.6880767__-0.076905,84.4954__84.4954__84.4954
02_02_09:039_31,mapurol: blunt,Clouds,62.38169__1.746365__-10.65614,0.1687907__0.6985587__0.04570621,0.005__0.005__0.005
02_02_09:039_31,parisukat: square,Table,60.11301__1.315704__-11.54346,0.05394608__0.7291197__-0.0518529,8__18__18
02_02_09:039_31,none,House,48.34__0.429__-7.33,0__0__0,0.3__0.3__0.3
02_02_09:039_31,none,Soccer Ball,49.73__0.86__-9.84,0__0__0,3__3__3
02_02_09:039_31,none,cat,50.8__0.76__-9.93,0__0__0,4__4__4
02_02_09:039_31,none,Cheese,52.8__0.73__-10.11,0__0__0,2__2__2
02_02_09:039_31,matigas: hard,GoldCoins,56.83953__-2.061051__-2.997615,-0.06788711__0.663422__-0.06281935,10__10__10
02_02_09:039_31,none,Banana,48.61__0.69__-10.38,0__0__0,2__2__2
02_02_09:039_31,none,Tree,49.33__0.981__-12.165,0__0__0,150__150__150
02_02_09:039_31,none,Watermelon,47.77__0.61__-11.21,0__0__0,0.3__0.3__0.3
02_02_09:039_31,harap: front,book,55.04576__-2.020689__-5.631645,0.2297627__0.7707942__0.0459913,3__3__3
02_02_09:039_31,none,Axe,50.3483__1.69648__-8.320617,-0.6066526__-0.4389274__-0.3164361,2__2__2
02_02_09:039_31,none,StopSign,50.97814__0.9179969__-7.580186,-0.04709267__-0.3891158__0.1070449,0.3__0.3__0.3
02_02_09:039_31,none,Crystals,49.76__0.834__-11.14,0__0__0,0.2__0.2__0.2
02_02_09:039_31,madilim	:dark,Clock,62.22352__1.74421__-14.15286,0.07895596__0.7695822__-0.02973875,3__3__3
02_02_09:039_31,mabagal: slow,Car,63.81808__0.8474647__-13.83975,0.04117453__0.3445035__-0.05800544,0.3__0.3__0.3
02_02_09:039_31,pataas: up,Airplane,56.53119__2.618211__-3.17925,-0.06937395__0.4689305__0.09645751,0.2__0.2__0.2
02_02_09:039_31,matamis: sweet,Heart,55.42519__0.2298482__-4.866194,-0.3756311__0.2639686__0.02242777,0.5__0.5__0.5
